Control,DSS,LF82A,LF82A+DSS,LF82N,LF82N+DSS
0,1,0,1,0,2
0,1,0,2,0,2
0,1,0,2,0,1
0,1,0,4,0,1
0,1,0,2,0,5
0,1,0,2,0,4
0,2,0,4,0,6
0,3,0,1,0,2
0,3,0,7,0,2
0,3,0,2,0,2
0,3,0,1,0,1
0,3,0,8,0,5
0,1,0,6,0,4
0,1,0,3,0,5
0,1,0,2,0,5
0,6,0,3,0,2
0,4,0,1,0,5
,6,0,3,0,2
,0,0,2,0,7
,0,0,2,0,4
,0,0,2,0,5
,,,0,0,7
,,,0,0,3
,,,1,0,4
,,,1,,6
,,,1,,3
,,,1,,3
,,,1,,3
,,,,,2
,,,,,2
,,,,,2
,,,,,1
