Control,DSS,LF82A,LF82A+DSS,LF82N,LF82N+DSS
1,3,1,2,1,12
1,5,1,7,7,14
1,8,1,2,2,1
1,10,1,8,11,11
1,10,2,8,1,15
1,11,1,5,5,16
1,12,1,9,1,7
1,10,1,11,1,13
1,2,1,10,2,15
1,6,1,12,1,13
1,8,2,10,2,10
2,8,1,12,1,10
1,,2,16,1,14
,,1,15,1,13
,,1,10,1,14
,,3,9,1,4
,,,14,1,14
,,,12,3,13
,,,8,2,8
,,,1,,11
,,,5,,15
,,,9,,4
,,,5,,14
,,,10,,13
,,,,,9
,,,,,2
,,,,,4
,,,,,7
,,,,,7
